"label","abrreviated","cluster","r_names","official_name"
"ADPSBQ_X","ADPSBQ","X","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_A_1","ADPSBQ","A.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_A_2","ADPSBQ","A.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_B","ADPSBQ","B","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_C","ADPSBQ","C","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_D_1","ADPSBQ","D.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_D_2","ADPSBQ","D.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_E","ADPSBQ","E","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_F","ADPSBQ","F","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_G","ADPSBQ","G","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_H","ADPSBQ","H","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_I","ADPSBQ","I","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_J_1","ADPSBQ","J.1","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPSBQ_J_2","ADPSBQ","J.2","adipose_subcutaneous","Adipose - Subcutaneous"
"ADPVSC_X","ADPVSC","X","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_A_1","ADPVSC","A.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_A_2","ADPVSC","A.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_B","ADPVSC","B","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_C","ADPVSC","C","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_D","ADPVSC","D","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_E","ADPVSC","E","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_F_1","ADPVSC","F.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_F_2","ADPVSC","F.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_G_1","ADPVSC","G.1","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADPVSC_G_2","ADPVSC","G.2","adipose_visceral__omentum","Adipose - Visceral (Omentum)"
"ADRNLG_X","ADRNLG","X","adrenal_gland","Adrenal Gland"
"ADRNLG_A_1","ADRNLG","A.1","adrenal_gland","Adrenal Gland"
"ADRNLG_A_2","ADRNLG","A.2","adrenal_gland","Adrenal Gland"
"ADRNLG_B","ADRNLG","B","adrenal_gland","Adrenal Gland"
"ADRNLG_C","ADRNLG","C","adrenal_gland","Adrenal Gland"
"ADRNLG_D","ADRNLG","D","adrenal_gland","Adrenal Gland"
"ADRNLG_E","ADRNLG","E","adrenal_gland","Adrenal Gland"
"ADRNLG_F","ADRNLG","F","adrenal_gland","Adrenal Gland"
"ADRNLG_G","ADRNLG","G","adrenal_gland","Adrenal Gland"
"ADRNLG_H","ADRNLG","H","adrenal_gland","Adrenal Gland"
"ADRNLG_I","ADRNLG","I","adrenal_gland","Adrenal Gland"
"ADRNLG_J","ADRNLG","J","adrenal_gland","Adrenal Gland"
"ADRNLG_K_1","ADRNLG","K.1","adrenal_gland","Adrenal Gland"
"ADRNLG_K_2","ADRNLG","K.2","adrenal_gland","Adrenal Gland"
"ARTAORT_X","ARTAORT","X","artery_aorta","Artery - Aorta"
"ARTAORT_A_1","ARTAORT","A.1","artery_aorta","Artery - Aorta"
"ARTAORT_A_2","ARTAORT","A.2","artery_aorta","Artery - Aorta"
"ARTAORT_B","ARTAORT","B","artery_aorta","Artery - Aorta"
"ARTAORT_C","ARTAORT","C","artery_aorta","Artery - Aorta"
"ARTAORT_D_1","ARTAORT","D.1","artery_aorta","Artery - Aorta"
"ARTAORT_D_2","ARTAORT","D.2","artery_aorta","Artery - Aorta"
"ARTAORT_E","ARTAORT","E","artery_aorta","Artery - Aorta"
"ARTAORT_F","ARTAORT","F","artery_aorta","Artery - Aorta"
"ARTAORT_G_1","ARTAORT","G.1","artery_aorta","Artery - Aorta"
"ARTAORT_G_2","ARTAORT","G.2","artery_aorta","Artery - Aorta"
"ARTAORT_H","ARTAORT","H","artery_aorta","Artery - Aorta"
"ARTAORT_I","ARTAORT","I","artery_aorta","Artery - Aorta"
"ARTAORT_J_1","ARTAORT","J.1","artery_aorta","Artery - Aorta"
"ARTAORT_J_2","ARTAORT","J.2","artery_aorta","Artery - Aorta"
"ARTCRN_X","ARTCRN","X","artery_coronary","Artery - Coronary"
"ARTCRN_A","ARTCRN","A","artery_coronary","Artery - Coronary"
"ARTCRN_B","ARTCRN","B","artery_coronary","Artery - Coronary"
"ARTCRN_C_1","ARTCRN","C.1","artery_coronary","Artery - Coronary"
"ARTCRN_C_2","ARTCRN","C.2","artery_coronary","Artery - Coronary"
"ARTCRN_D","ARTCRN","D","artery_coronary","Artery - Coronary"
"ARTCRN_E","ARTCRN","E","artery_coronary","Artery - Coronary"
"ARTCRN_F","ARTCRN","F","artery_coronary","Artery - Coronary"
"ARTCRN_G_1","ARTCRN","G.1","artery_coronary","Artery - Coronary"
"ARTCRN_G_2","ARTCRN","G.2","artery_coronary","Artery - Coronary"
"ARTTBL_X","ARTTBL","X","artery_tibial","Artery - Tibial"
"ARTTBL_A","ARTTBL","A","artery_tibial","Artery - Tibial"
"ARTTBL_B_1","ARTTBL","B.1","artery_tibial","Artery - Tibial"
"ARTTBL_B_2","ARTTBL","B.2","artery_tibial","Artery - Tibial"
"ARTTBL_C_1","ARTTBL","C.1","artery_tibial","Artery - Tibial"
"ARTTBL_C_2","ARTTBL","C.2","artery_tibial","Artery - Tibial"
"ARTTBL_D_1","ARTTBL","D.1","artery_tibial","Artery - Tibial"
"ARTTBL_D_2","ARTTBL","D.2","artery_tibial","Artery - Tibial"
"ARTTBL_E_1","ARTTBL","E.1","artery_tibial","Artery - Tibial"
"ARTTBL_E_2","ARTTBL","E.2","artery_tibial","Artery - Tibial"
"ARTTBL_F_1","ARTTBL","F.1","artery_tibial","Artery - Tibial"
"ARTTBL_F_2","ARTTBL","F.2","artery_tibial","Artery - Tibial"
"ARTTBL_G","ARTTBL","G","artery_tibial","Artery - Tibial"
"ARTTBL_H_1","ARTTBL","H.1","artery_tibial","Artery - Tibial"
"ARTTBL_H_2","ARTTBL","H.2","artery_tibial","Artery - Tibial"
"BRNAMY_X","BRNAMY","X","brain_amygdala","Brain - Amygdala"
"BRNAMY_A","BRNAMY","A","brain_amygdala","Brain - Amygdala"
"BRNAMY_B","BRNAMY","B","brain_amygdala","Brain - Amygdala"
"BRNAMY_C","BRNAMY","C","brain_amygdala","Brain - Amygdala"
"BRNAMY_D","BRNAMY","D","brain_amygdala","Brain - Amygdala"
"BRNAMY_E","BRNAMY","E","brain_amygdala","Brain - Amygdala"
"BRNAMY_F","BRNAMY","F","brain_amygdala","Brain - Amygdala"
"BRNAMY_G","BRNAMY","G","brain_amygdala","Brain - Amygdala"
"BRNAMY_H","BRNAMY","H","brain_amygdala","Brain - Amygdala"
"BRNAMY_I","BRNAMY","I","brain_amygdala","Brain - Amygdala"
"BRNAMY_J","BRNAMY","J","brain_amygdala","Brain - Amygdala"
"BRNAMY_K","BRNAMY","K","brain_amygdala","Brain - Amygdala"
"BRNAMY_L_1","BRNAMY","L.1","brain_amygdala","Brain - Amygdala"
"BRNAMY_L_2","BRNAMY","L.2","brain_amygdala","Brain - Amygdala"
"BRNACC_X","BRNACC","X","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_A_1","BRNACC","A.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_A_2","BRNACC","A.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_B","BRNACC","B","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_C","BRNACC","C","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_D_1","BRNACC","D.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_D_2","BRNACC","D.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_E","BRNACC","E","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_F","BRNACC","F","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_G","BRNACC","G","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_H_1","BRNACC","H.1","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNACC_H_2","BRNACC","H.2","brain_anterior_cingulate_cortex__ba24","Brain - Anterior cingulate cortex (BA24)"
"BRNCDT_X","BRNCDT","X","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_A_1","BRNCDT","A.1","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_A_2","BRNCDT","A.2","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_B","BRNCDT","B","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_C","BRNCDT","C","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_D","BRNCDT","D","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_E_1","BRNCDT","E.1","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCDT_E_2","BRNCDT","E.2","brain_caudate__basal_ganglia","Brain - Caudate (basal ganglia)"
"BRNCHB_X","BRNCHB","X","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_A_1","BRNCHB","A.1","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_A_2","BRNCHB","A.2","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_B","BRNCHB","B","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_C","BRNCHB","C","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_D","BRNCHB","D","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_E_1","BRNCHB","E.1","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_E_2","BRNCHB","E.2","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_F","BRNCHB","F","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_G","BRNCHB","G","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_H","BRNCHB","H","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_I_1","BRNCHB","I.1","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_I_2","BRNCHB","I.2","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_J_1","BRNCHB","J.1","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHB_J_2","BRNCHB","J.2","brain_cerebellar_hemisphere","Brain - Cerebellar Hemisphere"
"BRNCHA_X","BRNCHA","X","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_A","BRNCHA","A","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_B","BRNCHA","B","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_C","BRNCHA","C","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_D_1","BRNCHA","D.1","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_D_2","BRNCHA","D.2","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_E","BRNCHA","E","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_F","BRNCHA","F","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_G","BRNCHA","G","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_H_1","BRNCHA","H.1","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_H_2","BRNCHA","H.2","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_I_1","BRNCHA","I.1","brain_cerebellum","Brain - Cerebellum"
"BRNCHA_I_2","BRNCHA","I.2","brain_cerebellum","Brain - Cerebellum"
"BRNCTXA_X","BRNCTXA","X","brain_cortex","Brain - Cortex"
"BRNCTXA_A","BRNCTXA","A","brain_cortex","Brain - Cortex"
"BRNCTXA_B","BRNCTXA","B","brain_cortex","Brain - Cortex"
"BRNCTXA_C","BRNCTXA","C","brain_cortex","Brain - Cortex"
"BRNCTXA_D","BRNCTXA","D","brain_cortex","Brain - Cortex"
"BRNCTXA_E_1","BRNCTXA","E.1","brain_cortex","Brain - Cortex"
"BRNCTXA_E_2","BRNCTXA","E.2","brain_cortex","Brain - Cortex"
"BRNCTXA_F","BRNCTXA","F","brain_cortex","Brain - Cortex"
"BRNCTXA_G","BRNCTXA","G","brain_cortex","Brain - Cortex"
"BRNCTXA_H_1","BRNCTXA","H.1","brain_cortex","Brain - Cortex"
"BRNCTXA_H_2","BRNCTXA","H.2","brain_cortex","Brain - Cortex"
"BRNCTXA_I_1","BRNCTXA","I.1","brain_cortex","Brain - Cortex"
"BRNCTXA_I_2","BRNCTXA","I.2","brain_cortex","Brain - Cortex"
"BRNCTXA_J_1","BRNCTXA","J.1","brain_cortex","Brain - Cortex"
"BRNCTXA_J_2","BRNCTXA","J.2","brain_cortex","Brain - Cortex"
"BRNCTXB_X","BRNCTXB","X","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_A","BRNCTXB","A","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_B","BRNCTXB","B","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_C","BRNCTXB","C","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_D_1","BRNCTXB","D.1","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_D_2","BRNCTXB","D.2","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_E_1","BRNCTXB","E.1","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_E_2","BRNCTXB","E.2","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_F_1","BRNCTXB","F.1","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_F_2","BRNCTXB","F.2","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_G","BRNCTXB","G","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_H","BRNCTXB","H","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_I_1","BRNCTXB","I.1","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNCTXB_I_2","BRNCTXB","I.2","brain_frontal_cortex__ba9","Brain - Frontal Cortex (BA9)"
"BRNHPP_X","BRNHPP","X","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_A","BRNHPP","A","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_B_1","BRNHPP","B.1","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_B_2","BRNHPP","B.2","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_C","BRNHPP","C","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_D","BRNHPP","D","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_E","BRNHPP","E","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_F","BRNHPP","F","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_G","BRNHPP","G","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_H","BRNHPP","H","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_I_1","BRNHPP","I.1","brain_hippocampus","Brain - Hippocampus"
"BRNHPP_I_2","BRNHPP","I.2","brain_hippocampus","Brain - Hippocampus"
"BRNHPT_X","BRNHPT","X","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_A_1","BRNHPT","A.1","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_A_2","BRNHPT","A.2","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_B","BRNHPT","B","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_C_1","BRNHPT","C.1","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_C_2","BRNHPT","C.2","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_D","BRNHPT","D","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_E","BRNHPT","E","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_F_1","BRNHPT","F.1","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_F_2","BRNHPT","F.2","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_G","BRNHPT","G","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_H","BRNHPT","H","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_I_1","BRNHPT","I.1","brain_hypothalamus","Brain - Hypothalamus"
"BRNHPT_I_2","BRNHPT","I.2","brain_hypothalamus","Brain - Hypothalamus"
"BRNNCC_X","BRNNCC","X","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_A_1","BRNNCC","A.1","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_A_2","BRNNCC","A.2","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_B","BRNNCC","B","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_C","BRNNCC","C","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_D","BRNNCC","D","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_E","BRNNCC","E","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_F","BRNNCC","F","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_G","BRNNCC","G","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_H","BRNNCC","H","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_I_1","BRNNCC","I.1","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNNCC_I_2","BRNNCC","I.2","brain_nucleus_accumbens__basal_ganglia","Brain - Nucleus accumbens (basal ganglia)"
"BRNPTM_X","BRNPTM","X","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_A_1","BRNPTM","A.1","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_A_2","BRNPTM","A.2","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_B","BRNPTM","B","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_C","BRNPTM","C","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_D","BRNPTM","D","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_E","BRNPTM","E","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_F_1","BRNPTM","F.1","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_F_2","BRNPTM","F.2","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_G","BRNPTM","G","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_H","BRNPTM","H","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNPTM_I","BRNPTM","I","brain_putamen__basal_ganglia","Brain - Putamen (basal ganglia)"
"BRNSPC_X","BRNSPC","X","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_A","BRNSPC","A","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_B","BRNSPC","B","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_C","BRNSPC","C","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_D","BRNSPC","D","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_E","BRNSPC","E","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_F","BRNSPC","F","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_G","BRNSPC","G","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSPC_H","BRNSPC","H","brain_spinal_cord__cervical_c_1","Brain - Spinal cord (cervical c-1)"
"BRNSNG_X","BRNSNG","X","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_A","BRNSNG","A","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_B","BRNSNG","B","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_C","BRNSNG","C","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_D","BRNSNG","D","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_E","BRNSNG","E","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_F","BRNSNG","F","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_G","BRNSNG","G","brain_substantia_nigra","Brain - Substantia nigra"
"BRNSNG_H","BRNSNG","H","brain_substantia_nigra","Brain - Substantia nigra"
"BREAST_X","BREAST","X","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_A","BREAST","A","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_B","BREAST","B","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_C","BREAST","C","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_D","BREAST","D","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_E","BREAST","E","breast_mammary_tissue","Breast - Mammary Tissue"
"BREAST_F","BREAST","F","breast_mammary_tissue","Breast - Mammary Tissue"
"LCL_X","LCL","X","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_A","LCL","A","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_B_1","LCL","B.1","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_B_2","LCL","B.2","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_C","LCL","C","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_D","LCL","D","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_E","LCL","E","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_F","LCL","F","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_G_1","LCL","G.1","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_G_2","LCL","G.2","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_H_1","LCL","H.1","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"LCL_H_2","LCL","H.2","cells_ebv_transformed_lymphocytes","Cells - EBV-transformed lymphocytes"
"FIBRBLS_X","FIBRBLS","X","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_A","FIBRBLS","A","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_B_1","FIBRBLS","B.1","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_B_2","FIBRBLS","B.2","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_C_1","FIBRBLS","C.1","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_C_2","FIBRBLS","C.2","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_D_1","FIBRBLS","D.1","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_D_2","FIBRBLS","D.2","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_E","FIBRBLS","E","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_F","FIBRBLS","F","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_G_1","FIBRBLS","G.1","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
"FIBRBLS_G_2","FIBRBLS","G.2","cells_cultured_fibroblasts","Cells - Cultured fibroblasts"
