"","A-1","A-2","B","C","D","E-1","E-2","F","G","H","I-1","I-2","J-1","J-2"
"RP5-1092A3.4","MTND1P23","CLCNKA","TNFRSF18","CELA3A","C1QA","CYR61","ZP2","HIST2H2BF","SPRR3","SFTPB","CCDC144A","KRT17P2","LINC01597","XIST"
"CCDC163","MTND2P28","SMPDL3B","EGR4","REG1A","C1QC","F3","","HSPA6","MUC7","DES","USP32P1","USP32P2","RPS4Y1",""
"SLC1A7","MTCO1P12","TMEM200B","PCSK1","CPB1","C1QB","S100A9","","HSPA7","ALB","FABP4","","CTD-2303H24.2","RP11-414C23.1",""
"GSTM1","MTCO2P12","RGS8","EGR1","CPA1","FCGR1A","S100A8","","RGS1","PGC","TG","","CCDC144B","ZFY",""
"TSPAN2","MTATP8P1","ARHGEF33","VGF","PRSS1","FCGR2A","ADAMTS4","","ATF3","LIPF","NRAP","","","PRKY",""
"RP4-765C7.2","MTATP6P1","GAD1","NR4A3","PRSS2","FCGR3A","PTGS2","","HIST1H2AC","KRT6A","KRT5","","","TTTY15",""
"RP11-343H5.4","MTCO3P12","ITPR1","NPAS4","PNLIP","IL1B","CHI3L1","","HIST1H2BG","KRT4","KRT2","","","USP9Y",""
"HSD11B1","RP11-174G17.3","CNTN3","NR4A1","GP2","SLC11A1","EFEMP1","","HIST1H2AE","IGHA1","KRT1","","","DDX3Y",""
"GCSAML","BCYRN1","KIT","FOS","CTRB1","CX3CR1","IL1RL1","","HSPA1A","HP","MYL2","","","UTY",""
"OR2L13","SERBP1P3","SV2C","RRAD","","HLA-DRB5","IL18R1","","HSPA1B","KRT13","MYH6","","","TMSB4Y",""
"AC116614.1","RPL7P18","SPINK6","FOSB","","CD163","TFCP2L1","","HSPB1","","MYH7","","","NLGN4Y",""
"VIT","MTND4P12","PPP1R17","KLK7","","OLR1","KCNE4","","EGR3","","KRT14","","","TTTY14",""
"EPCAM","MTRNR2L8","FGL2","AC006116.20","","ALOX5AP","SLC6A11","","EGR2","","CKM","","","TXLNGY",""
"ACTG2","MTCO1P40","NEFL","","","SERPINA1","ADAMTS9","","SERPINH1","","MB","","","RP11-424G14.1",""
"RGPD2","MT-CO1","CA8","","","CCL2","CP","","JUNB","","","","","KDM5D",""
"ESPNL","MT-TS1","CALB1","","","C3","TM4SF1","","DNAJB1","","","","","EIF1AY",""
"LINC01238","MT-ND4L","GAD2","","","HAMP","CXCL8","","CH507-42P11.8","","","","","",""
"RP11-384L8.1","MT-ND6","SLC6A5","","","FCGBP","CXCL1","","","","","","","",""
"COL6A4P2","MT-TE","SIAH3","","","FPR1","CXCL2","","","","","","","",""
"MME","","KLHL1","","","VSIG4","ETNPPL","","","","","","","",""
"MUC20P1","","CHRNA3","","","","OSMR","","","","","","","",""
"AC141928.1","","GNG13","","","","CXCL14","","","","","","","",""
"ART3","","HS3ST4","","","","FKBP5","","","","","","","",""
"SPP1","","ATP2A3","","","","CDKN1A","","","","","","","",""
"HAND2","","CACNA1G","","","","GJA1","","","","","","","",""
"HAND2-AS1","","CPLX4","","","","AQP1","","","","","","","",""
"CDH12","","PCP2","","","","CCDC129","","","","","","","",""
"CTD-2353F22.2","","PRKCG","","","","NPC1L1","","","","","","","",""
"C7","","SLC32A1","","","","PDK4","","","","","","","",""
"SMN2","","PCP4","","","","AZGP1","","","","","","","",""
"GTF2H2","","NEFH","","","","ANGPT2","","","","","","","",""
"RP11-195E2.1","","NRK","","","","STC1","","","","","","","",""
"RPL10P9","","","","","","C8orf4","","","","","","","",""
"SERPINB9P1","","","","","","CEBPD","","","","","","","",""
"PRL","","","","","","SLC39A12","","","","","","","",""
"SCGN","","","","","","PDLIM1","","","","","","","",""
"HCP5B","","","","","","HPSE2","","","","","","","",""
"MICB","","","","","","PRLHR","","","","","","","",""
"C6orf141","","","","","","IFITM2","","","","","","","",""
"COL21A1","","","","","","IFITM3","","","","","","","",""
"RP11-632C17__A.1","","","","","","ADM","","","","","","","",""
"CTGF","","","","","","CD44","","","","","","","",""
"RP1-111D6.3","","","","","","APLNR","","","","","","","",""
"VIP","","","","","","FOSL1","","","","","","","",""
"RP3-470B24.5","","","","","","MPZL2","","","","","","","",""
"KIF25-AS1","","","","","","YBX3","","","","","","","",""
"KIF25","","","","","","APOLD1","","","","","","","",""
"NEUROD6","","","","","","GPRC5A","","","","","","","",""
"IGFBP3","","","","","","EMP1","","","","","","","",""
"NPTX2","","","","","","RFX4","","","","","","","",""
"SERPINE1","","","","","","GJB6","","","","","","","",""
"GPR37","","","","","","SLC24A4","","","","","","","",""
"TRBC2","","","","","","SERPINA3","","","","","","","",""
"PRSS55","","","","","","CA12","","","","","","","",""
"CHRNA2","","","","","","RASL12","","","","","","","",""
"OPRK1","","","","","","MT2A","","","","","","","",""
"PENK","","","","","","MT1M","","","","","","","",""
"RP11-438B23.2","","","","","","MT1A","","","","","","","",""
"LINGO2","","","","","","MT1G","","","","","","","",""
"FAM95C","","","","","","CRISPLD2","","","","","","","",""
"CNTNAP3","","","","","","PNMT","","","","","","","",""
"RP11-262H14.3","","","","","","CSF3","","","","","","","",""
"ANKRD20A4","","","","","","GFAP","","","","","","","",""
"KIF12","","","","","","KIF19","","","","","","","",""
"AGAP7P","","","","","","ITGB4","","","","","","","",""
"AGAP14","","","","","","SOCS3","","","","","","","",""
"GDF10","","","","","","LAMA1","","","","","","","",""
"AGAP12P","","","","","","CABLES1","","","","","","","",""
"OPALIN","","","","","","AQP4","","","","","","","",""
"PLPP4","","","","","","SLC14A1","","","","","","","",""
"LINC01561","","","","","","ANGPTL4","","","","","","","",""
"RP11-323P17.2","","","","","","ICAM1","","","","","","","",""
"MUC6","","","","","","ZFP36","","","","","","","",""
"HBB","","","","","","GPR4","","","","","","","",""
"HBD","","","","","","HIF3A","","","","","","","",""
"ZBTB16","","","","","","CD93","","","","","","","",""
"RP11-469N6.1","","","","","","SDC4","","","","","","","",""
"RP11-22B23.1","","","","","","MAFF","","","","","","","",""
"AC091814.2","","","","","","","","","","","","","",""
"TAS2R64P","","","","","","","","","","","","","",""
"PRPH","","","","","","","","","","","","","",""
"WIF1","","","","","","","","","","","","","",""
"NTS","","","","","","","","","","","","","",""
"HSPH1","","","","","","","","","","","","","",""
"PCDH8","","","","","","","","","","","","","",""
"SLITRK6","","","","","","","","","","","","","",""
"RP11-298I3.6","","","","","","","","","","","","","",""
"OTX2","","","","","","","","","","","","","",""
"RP11-507K2.2","","","","","","","","","","","","","",""
"BDKRB2","","","","","","","","","","","","","",""
"RP11-509A17.3","","","","","","","","","","","","","",""
"RP11-1H8.5","","","","","","","","","","","","","",""
"THBS1","","","","","","","","","","","","","",""
"RP11-23P13.6","","","","","","","","","","","","","",""
"LMAN1L","","","","","","","","","","","","","",""
"CPLX3","","","","","","","","","","","","","",""
"RP11-114H24.2","","","","","","","","","","","","","",""
"RPL9P9","","","","","","","","","","","","","",""
"WASIR2","","","","","","","","","","","","","",""
"HBA2","","","","","","","","","","","","","",""
"HBA1","","","","","","","","","","","","","",""
"RP11-20I23.13","","","","","","","","","","","","","",""
"NPIPB2","","","","","","","","","","","","","",""
"NPIPA5","","","","","","","","","","","","","",""
"MYH11","","","","","","","","","","","","","",""
"AC138969.4","","","","","","","","","","","","","",""
"RP11-958N24.2","","","","","","","","","","","","","",""
"NPIPA7","","","","","","","","","","","","","",""
"NPIPA8","","","","","","","","","","","","","",""
"PKD1P5","","","","","","","","","","","","","",""
"HERC2P4","","","","","","","","","","","","","",""
"HPR","","","","","","","","","","","","","",""
"NPIPB15","","","","","","","","","","","","","",""
"FAM92B","","","","","","","","","","","","","",""
"FAM157C","","","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","","","",""
"SNORD3A","","","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","","","",""
"LRRC37A4P","","","","","","","","","","","","","",""
"MAPK8IP1P2","","","","","","","","","","","","","",""
"RP11-259G18.3","","","","","","","","","","","","","",""
"GH1","","","","","","","","","","","","","",""
"AC139099.7","","","","","","","","","","","","","",""
"TTR","","","","","","","","","","","","","",""
"RP11-426J5.3","","","","","","","","","","","","","",""
"GNA15","","","","","","","","","","","","","",""
"CLEC4G","","","","","","","","","","","","","",""
"OR7D2","","","","","","","","","","","","","",""
"COMP","","","","","","","","","","","","","",""
"RP11-678G14.3","","","","","","","","","","","","","",""
"RP11-420K14.1","","","","","","","","","","","","","",""
"MTDHP3","","","","","","","","","","","","","",""
"RPSAP58","","","","","","","","","","","","","",""
"SIRPB1","","","","","","","","","","","","","",""
"FAM182A","","","","","","","","","","","","","",""
"LINC01749","","","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","","","",""
"CH507-513H4.5","","","","","","","","","","","","","",""
"CH507-513H4.3","","","","","","","","","","","","","",""
"TEKT4P2","","","","","","","","","","","","","",""
"CYP4F29P","","","","","","","","","","","","","",""
"CBS","","","","","","","","","","","","","",""
"SIK1","","","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","",""
"LL21NC02-21A1.1","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","",""
"SIRPAP1","","","","","","","","","","","","","",""
"SSTR3","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","",""
"RHOXF1-AS1","","","","","","","","","","","","","",""
"RHOXF1","","","","","","","","","","","","","",""
"PNMA6B","","","","","","","","","","","","","",""
