"","A","B","C","D","E-1","E-2"
"GSTM1","RP11-465B22.8","CLCA1","FCRL5","SMYD1","XIST","RPS4Y1"
"RP11-343H5.4","HES2","ITLN1","IGKC","HAND1","","ZFY"
"HSD3B2","TMEM82","RETNLB","IGKJ5","CHRM2","","PRKY"
"REG4","RNF186","MUC4","IGKJ4","MORN5","","TTTY15"
"SLC30A10","SFN","FGFBP1","IGKJ3","RBFOX3","","USP9Y"
"LINC01291","GUCA2B","SPINK1","IGKJ2","NPTX1","","DDX3Y"
"REG1A","GUCA2A","AGR2","IGKJ1","NTSR1","","UTY"
"UGT2B17","TMEM125","LRRC26","IGKV4-1","PNCK","","NLGN4Y"
"UGT2B15","C1orf210","MUC5B","IGKV1-5","","","TTTY14"
"SLC6A19","BEST4","GPX2","IGKV1-6","","","TXLNGY"
"MUC17","TSPAN1","LINC00261","IGKV1-9","","","RP11-424G14.1"
"ADAMDEC1","PDZK1IP1","FOXA2","IGKV3-11","","","KDM5D"
"SPINK4","CLCA4","NOX1","IGKV1-12","","","EIF1AY"
"LCN2","EPS8L3","","IGKV3-15","","",""
"DMBT1","HMGCS2","","IGKV1-16","","",""
"MS4A1","CGN","","IGKV1-17","","",""
"C11orf86","S100A14","","IGKV3-20","","",""
"CHRDL2","RAB25","","IGKV6-21","","",""
"OLFM4","IGSF9","","IGKV2-24","","",""
"IGHG4","GPA33","","IGKV1-27","","",""
"IGHV7-4-1","LAD1","","IGKV2-28","","",""
"IGHV3-64D","ELF3","","IGKV2-30","","",""
"IGHV5-10-1","PIGR","","IGKV1-33","","",""
"SCNN1G","CAPN8","","IGKV1-39","","",""
"AQP8","LEFTY1","","IGKV2D-29","","",""
"NPIPB15","LYPD8","","IGKV3D-20","","",""
"HOXB13","CAPN13","","JCHAIN","","",""
"LINC00668","XDH","","MZB1","","",""
"CD177","EPCAM","","IGHA2","","",""
"PI3","FABP1","","IGHA1","","",""
"PCK1","SLC9A2","","IGHM","","",""
"IGLV4-60","TFCP2L1","","IGHJ6","","",""
"IGLV10-54","DHRS9","","IGHJ5","","",""
"","SATB2-AS1","","IGHJ4","","",""
"","VIL1","","IGHJ3","","",""
"","IHH","","IGHV6-1","","",""
"","ALPI","","IGHV1-2","","",""
"","UGT1A8","","IGHV1-3","","",""
"","UGT1A10","","IGHV4-4","","",""
"","FAM3D","","IGHV2-5","","",""
"","ADGRG7","","IGHV3-7","","",""
"","HHLA2","","IGHV3-11","","",""
"","NR1I2","","IGHV3-13","","",""
"","ILDR1","","IGHV3-15","","",""
"","MUC13","","IGHV1-18","","",""
"","PLS1","","IGHV3-20","","",""
"","ARL14","","IGHV3-21","","",""
"","SI","","IGHV3-23","","",""
"","LRRC31","","IGHV2-26","","",""
"","LIPH","","IGHV3-30","","",""
"","CWH43","","IGHV4-31","","",""
"","UGT2A3","","IGHV3-33","","",""
"","SULT1B1","","IGHV4-34","","",""
"","SOWAHB","","IGHV4-39","","",""
"","ATOH1","","IGHV3-43","","",""
"","FABP2","","IGHV1-46","","",""
"","TMEM171","","IGHV3-48","","",""
"","F2RL1","","IGHV3-49","","",""
"","CDX1","","IGHV5-51","","",""
"","SLC6A7","","IGHV3-53","","",""
"","ATP10B","","IGHV4-59","","",""
"","CDHR2","","IGHV4-61","","",""
"","BTNL8","","IGHV1-69D","","",""
"","BTNL3","","IGHV3-72","","",""
"","ADTRP","","IGHV3-74","","",""
"","SLC17A4","","IGLV4-69","","",""
"","TRIM31","","IGLV8-61","","",""
"","TRIM15","","IGLV6-57","","",""
"","SLC44A4","","IGLV1-51","","",""
"","C6orf222","","IGLV1-47","","",""
"","MEP1A","","IGLV7-46","","",""
"","TINAG","","IGLV5-45","","",""
"","CD24","","IGLV1-44","","",""
"","AGR3","","IGLV7-43","","",""
"","PRR15","","IGLV1-40","","",""
"","DDC","","IGLV3-25","","",""
"","CLDN3","","IGLV2-23","","",""
"","CLDN4","","IGLV3-21","","",""
"","HEPACAM2","","IGLV3-19","","",""
"","RP11-395B7.2","","IGLV2-18","","",""
"","MUC12","","IGLV2-14","","",""
"","MOGAT3","","IGLV2-11","","",""
"","SLC26A3","","IGLV3-10","","",""
"","CFTR","","IGLV3-9","","",""
"","AKR1B10","","IGLV2-8","","",""
"","AOC1","","IGLV3-1","","",""
"","NAT2","","IGLC1","","",""
"","HNF4G","","IGLC2","","",""
"","CA1","","IGLC3","","",""
"","CA2","","IGLC6","","",""
"","CDH17","","IGLC7","","",""
"","ESRP1","","","","",""
"","GRHL2","","","","",""
"","FER1L6","","","","",""
"","LRRC19","","","","",""
"","GDA","","","","",""
"","C9orf152","","","","",""
"","KIF12","","","","",""
"","ENTPD8","","","","",""
"","TUBAL3","","","","",""
"","TMEM72","","","","",""
"","A1CF","","","","",""
"","C10orf99","","","","",""
"","FFAR4","","","","",""
"","CYP2C18","","","","",""
"","COL17A1","","","","",""
"","CLRN3","","","","",""
"","PRAP1","","","","",""
"","PKP3","","","","",""
"","CDHR5","","","","",""
"","MUC2","","","","",""
"","EHF","","","","",""
"","MS4A12","","","","",""
"","MS4A8","","","","",""
"","MIR194-2HG","","","","",""
"","MOGAT2","","","","",""
"","B3GNT6","","","","",""
"","NXPE1","","","","",""
"","NXPE4","","","","",""
"","TMPRSS4","","","","",""
"","PDZD3","","","","",""
"","TMEM45B","","","","",""
"","ST14","","","","",""
"","LINC01559","","","","",""
"","GUCY2C","","","","",""
"","SLC39A5","","","","",""
"","MYO1A","","","","",""
"","TSPAN8","","","","",""
"","CDX2","","","","",""
"","URAD","","","","",""
"","FOXA1","","","","",""
"","AMN","","","","",""
"","PHGR1","","","","",""
"","PPP1R14D","","","","",""
"","PLA2G4F","","","","",""
"","C15orf48","","","","",""
"","GCNT3","","","","",""
"","BICDL2","","","","",""
"","SMIM22","","","","",""
"","TMC5","","","","",""
"","ANKS4B","","","","",""
"","ERN2","","","","",""
"","CHP2","","","","",""
"","ZG16","","","","",""
"","PRSS8","","","","",""
"","CA7","","","","",""
"","CES3","","","","",""
"","HSD11B2","","","","",""
"","ESRP2","","","","",""
"","CDH1","","","","",""
"","MARVELD3","","","","",""
"","HSD17B2","","","","",""
"","ATP2C2","","","","",""
"","GGT6","","","","",""
"","CLDN7","","","","",""
"","LINC00675","","","","",""
"","LGALS9C","","","","",""
"","SLC13A2","","","","",""
"","TMIGD1","","","","",""
"","CCL15","","","","",""
"","HNF1B","","","","",""
"","KRT20","","","","",""
"","KRT19","","","","",""
"","PYY","","","","",""
"","PRR15L","","","","",""
"","HOXB9","","","","",""
"","LINC02086","","","","",""
"","B4GALNT2","","","","",""
"","LINC00483","","","","",""
"","OTOP2","","","","",""
"","MISP","","","","",""
"","EFNA2","","","","",""
"","SMIM24","","","","",""
"","TJP3","","","","",""
"","FUT6","","","","",""
"","FUT3","","","","",""
"","AP1M2","","","","",""
"","BEST2","","","","",""
"","B3GNT3","","","","",""
"","FXYD3","","","","",""
"","LGALS4","","","","",""
"","FCGBP","","","","",""
"","CYP2B6","","","","",""
"","CEACAM7","","","","",""
"","CEACAM5","","","","",""
"","CEACAM6","","","","",""
"","CEACAM1","","","","",""
"","CBLC","","","","",""
"","FAM83E","","","","",""
"","SPIB","","","","",""
"","KLK1","","","","",""
"","HNF4A","","","","",""
"","BCAS1","","","","",""
"","CLDN8","","","","",""
"","TMPRSS2","","","","",""
"","SLC5A1","","","","",""
"","ISX","","","","",""
"","GDPD2","","","","",""
"","GJB1","","","","",""
