"","A-1","A-2","B","C","D-1","D-2","E","F-1","F-2","G-1","G-2"
"MTND1P23","PADI1","CXCL9","CELA3B","KIAA1324","SPRR2D","MYOC","ADAMTS4","PRL","MYBPC1","XIST","RPS4Y1"
"PLA2G2A","PADI3","CXCL10","CELA3A","PIGR","SPRR2B","RP11-373D23.2","SELE","GH1","MYL2","","ZFY"
"SLC44A5","EDN2","GLDC","REG1B","LTF","SPRR2E","PI16","PTGS2","","MYH6","","RP11-115H13.1"
"GSTM1","HMGCS2","CCL19","REG1A","PROM1","SPRR2F","HBB","ATF3","","MYH7","","PRKY"
"HORMAD1","ECM1","KRT16P6","CPB1","SLC34A2","SPRR2C","WIF1","IL6","","CKM","","TTTY15"
"CD1A","RPTN","","ALB","FDCSP","SPRR2G","P2RX2","NR4A3","","","","USP9Y"
"CCDC190","FLG","","CLPS","SCGB3A1","S100A7A","HBA2","FOSL1","","","","DDX3Y"
"RP4-765C7.2","CRCT1","","PGC","SLC44A4","S100A7","HBA1","NR4A1","","","","UTY"
"RP11-343H5.4","LCE3E","","CPA2","AGR2","FCRL5","CCL11","CSF3","","","","TMSB4Y"
"CD207","LCE3D","","CPA1","AZGP1","FCRL1","TBC1D3L","ADCYAP1","","","","NLGN4Y"
"LINC01291","KPRP","","PRSS1","LRRC26","SLC26A9","","FOSB","","","","TTTY14"
"MUC7","FMO9P","","PRSS2","MUC5B","IGKC","","CH507-42P11.8","","","","TXLNGY"
"RPL10P9","SLC8A1-AS1","","LIPF","SAA2","IGKJ5","","SIK1","","","","RP11-424G14.1"
"HLA-DQA2","RP11-575H3.1","","PNLIP","SAA1","IGKJ4","","APOBEC3A","","","","KDM5D"
"NEFM","MAL","","GP2","FOLR1","IGKJ3","","","","","","EIF1AY"
"NEFL","SLC9A4","","CTRB2","MMP7","IGKJ2","","","","","",""
"CYP1A1","IL1A","","CTRB1","PRH1","IGKJ1","","","","","",""
"RP11-958N24.2","IL36A","","","PRR4","IGKV4-1","","","","","",""
"MT1A","IL36RN","","","AQP5","IGKV1-5","","","","","",""
"NPIPB15","DHRS9","","","WDR72","IGKV1-6","","","","","",""
"CCDC144A","UPK1B","","","MSLN","IGKV1-9","","","","","",""
"USP32P1","IL12A-AS1","","","ZG16B","IGKV3-11","","","","","",""
"RPL13P12","FETUB","","","ERN2","IGKV1-12","","","","","",""
"USP32P2","S100P","","","KRT23","IGKV3-15","","","","","",""
"SNORD3A","TMPRSS11B","","","MUC16","IGKV1-16","","","","","",""
"RP11-434D2.11","EREG","","","BPIFB2","IGKV1-17","","","","","",""
"LGALS7","SPINK7","","","BPIFB1","IGKV3-20","","","","","",""
"NLRP2","GABRP","","","WFDC2","IGKV2-24","","","","","",""
"C21orf33","SFTA2","","","B3GALT5","IGKV1-27","","","","","",""
"AP000350.5","DPCR1","","","","IGKV2-28","","","","","",""
"RP11-706O15.3","MUC21","","","","IGKV2-30","","","","","",""
"GPX1P1","MUC22","","","","IGKV1-33","","","","","",""
"","HCG22","","","","IGKV1-39","","","","","",""
"","CRISP2","","","","IL36G","","","","","",""
"","CRISP3","","","","CCL20","","","","","",""
"","GSTA1","","","","MUC4","","","","","",""
"","RP11-351J23.2","","","","SULT1E1","","","","","",""
"","RP11-351J23.1","","","","JCHAIN","","","","","",""
"","AC005532.5","","","","CXCL8","","","","","",""
"","UPK3B","","","","CXCL1","","","","","",""
"","HILPDA","","","","CXCL13","","","","","",""
"","ATP6V0A4","","","","IL7R","","","","","",""
"","AOC1","","","","MZB1","","","","","",""
"","ATG9B","","","","VNN3","","","","","",""
"","PSCA","","","","DEFB4A","","","","","",""
"","LYPD2","","","","BLK","","","","","",""
"","TMC1","","","","OLAH","","","","","",""
"","DKK1","","","","TCN1","","","","","",""
"","ZNF365","","","","MS4A1","","","","","",""
"","MYOZ1","","","","HEPHL1","","","","","",""
"","SYNPO2L","","","","CD163","","","","","",""
"","FAM25A","","","","LYZ","","","","","",""
"","RP11-96C23.12","","","","IGHA2","","","","","",""
"","DUSP5","","","","IGHG4","","","","","",""
"","PNLIPRP3","","","","IGHG2","","","","","",""
"","B3GNT6","","","","IGHGP","","","","","",""
"","LINC01559","","","","IGHA1","","","","","",""
"","GYS2","","","","IGHG1","","","","","",""
"","KRT1","","","","IGHG3","","","","","",""
"","KRT4","","","","IGHD","","","","","",""
"","KRT79","","","","IGHM","","","","","",""
"","KRT78","","","","IGHJ6","","","","","",""
"","ATP12A","","","","IGHJ4","","","","","",""
"","CLDN10","","","","FAM30A","","","","","",""
"","RNASE7","","","","IGHV1-2","","","","","",""
"","RP11-369C8.1","","","","IGHV1-3","","","","","",""
"","CHAC1","","","","IGHV4-4","","","","","",""
"","PLA2G4D","","","","IGHV2-5","","","","","",""
"","C15orf48","","","","IGHV3-7","","","","","",""
"","HS3ST6","","","","IGHV3-11","","","","","",""
"","HERC2P4","","","","IGHV3-15","","","","","",""
"","RP11-56L13.1","","","","IGHV1-18","","","","","",""
"","CES1","","","","IGHV3-21","","","","","",""
"","MT1G","","","","IGHV3-23","","","","","",""
"","MT1H","","","","IGHV3-30","","","","","",""
"","ALOX12","","","","IGHV3-33","","","","","",""
"","RNF222","","","","IGHV4-34","","","","","",""
"","GSDMA","","","","IGHV4-39","","","","","",""
"","KRTAP3-2","","","","IGHV1-46","","","","","",""
"","WNK4","","","","IGHV3-48","","","","","",""
"","CIDEA","","","","IGHV3-49","","","","","",""
"","AC024592.9","","","","IGHV5-51","","","","","",""
"","ACER1","","","","IGHV4-59","","","","","",""
"","B3GNT3","","","","IGHV1-69D","","","","","",""
"","UPK1A","","","","IGHV3-74","","","","","",""
"","CNFN","","","","PLA2G4E-AS1","","","","","",""
"","IGFL1","","","","PLA2G4E","","","","","",""
"","KLK12","","","","CD19","","","","","",""
"","PAX1","","","","ALOX12B","","","","","",""
"","WFDC12","","","","TBC1D27","","","","","",""
"","EDN3","","","","CCL18","","","","","",""
"","CLDN17","","","","KRT24","","","","","",""
"","","","","","KRT14","","","","","",""
"","","","","","KRT16","","","","","",""
"","","","","","KRT17","","","","","",""
"","","","","","WFDC21P","","","","","",""
"","","","","","KRTDAP","","","","","",""
"","","","","","CEACAM7","","","","","",""
"","","","","","CD79A","","","","","",""
"","","","","","CTC-490G23.2","","","","","",""
"","","","","","CD177","","","","","",""
"","","","","","KLK6","","","","","",""
"","","","","","KLK7","","","","","",""
"","","","","","PI3","","","","","",""
"","","","","","CYP24A1","","","","","",""
"","","","","","IGLV4-69","","","","","",""
"","","","","","IGLV6-57","","","","","",""
"","","","","","IGLV1-51","","","","","",""
"","","","","","IGLV1-47","","","","","",""
"","","","","","IGLV7-46","","","","","",""
"","","","","","IGLV1-44","","","","","",""
"","","","","","IGLV1-40","","","","","",""
"","","","","","IGLV3-25","","","","","",""
"","","","","","IGLV2-23","","","","","",""
"","","","","","IGLV3-21","","","","","",""
"","","","","","IGLV3-19","","","","","",""
"","","","","","IGLV2-14","","","","","",""
"","","","","","IGLV2-11","","","","","",""
"","","","","","IGLV3-10","","","","","",""
"","","","","","IGLV2-8","","","","","",""
"","","","","","IGLV3-1","","","","","",""
"","","","","","IGLC1","","","","","",""
"","","","","","IGLC2","","","","","",""
"","","","","","IGLC3","","","","","",""
"","","","","","IGLC6","","","","","",""
"","","","","","VSIG4","","","","","",""
"","","","","","SLC6A14","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
