"","A","B","C","D","E-1","E-2","F","G-1","G-2"
"MTND1P23","HES2","CELA3A","MYOM3","DNASE2B","CHI3L1","KLK12","IGKC","XIST","RPS4Y1"
"GSTM1","PADI1","REG1A","TRIM63","KIAA1324","LTF","","IGKJ5","","ZFY"
"RP11-343H5.4","CDA","PGC","HFE2","REG4","PROM1","","IGKJ4","","TBL1Y"
"LINC01291","GRHL3","CPA1","CASQ1","ITLN1","SLC34A2","","IGKJ3","","RP11-115H13.1"
"CXCL5","AIM1L","PRSS1","DUSP27","PIGR","FDCSP","","IGKJ2","","PRKY"
"PRL","CLCA2","PRSS2","CACNA1S","FAM177B","CSN3","","IGKJ1","","TTTY15"
"HBB","CLCA4","LIPF","TNNI1","CAMP","SPP1","","IGKV4-1","","USP9Y"
"MMP3","GBP6","PNLIP","MYBPH","LRRC31","SAA2","","IGKV1-5","","DDX3Y"
"KRT2","ECM1","GP2","ACTA1","STATH","SAA1","","IGKV1-6","","UTY"
"CYP1A1","FLG","","ACTN2","PRR27","MMP7","","IGKV1-9","","TMSB4Y"
"HBA2","CRNN","","TRIM54","ODAM","MMP12","","IGKV3-11","","NLGN4Y"
"PRSS21","CRCT1","","SMYD1","CABS1","HTR3A","","IGKV1-12","","TTTY14"
"NPIPB15","IVL","","NEB","SMR3B","OLFM4","","IGKV3-15","","TXLNGY"
"ADCYAP1","SPRR1A","","XIRP2","OPRPN","","","IGKV1-16","","RP11-424G14.1"
"PSG4","SPRR3","","KLHL41","MUC7","","","IGKV1-17","","KDM5D"
"SIK1","SPRR1B","","MYL1","AC138517.6","","","IGKV3-20","","EIF1AY"
"C21orf33","SPRR2D","","DES","SCGB3A1","","","IGKV1-27","",""
"","SPRR2A","","ARPP21","SPDEF","","","IGKV2-28","",""
"","SPRR2E","","XIRP1","RP3-442L6.4","","","IGKV2-29","",""
"","S100A9","","KLHL40","C6orf58","","","IGKV2-30","",""
"","S100A8","","TNNC1","AGR2","","","IGKV1-39","",""
"","S100A7","","RP11-451G4.2","AZGP1","","","IGKV2D-29","",""
"","VSIG8","","RP11-766F14.2","MGAM2","","","JCHAIN","",""
"","CAPN14","","MYOT","PIP","","","IGHA2","",""
"","MAL","","MYOZ3","NKX3-1","","","IGHA1","",""
"","IL1RN","","APOBEC2","ENTPD8","","","IGHD","",""
"","C2orf54","","TRDN","DMBT1","","","IGHM","",""
"","TMEM40","","LMOD2","MUC5B","","","IGHJ4","",""
"","ZBED2","","C10orf71","TCN1","","","IGHV6-1","",""
"","CSTA","","MYPN","SCGB1D2","","","IGHV1-2","",""
"","PPP2R2C","","MYOZ1","SCGB2A2","","","IGHV1-3","",""
"","FGFBP1","","SYNPO2L","B3GNT6","","","IGHV4-4","",""
"","CWH43","","DUSP13","PRR4","","","IGHV7-4-1","",""
"","NMU","","NRAP","MUC19","","","IGHV2-5","",""
"","HOPX","","TNNI2","AQP5","","","IGHV3-7","",""
"","TMPRSS11D","","TNNT3","LYZ","","","IGHV3-64D","",""
"","TMPRSS11A","","H19","LMAN1L","","","IGHV5-10-1","",""
"","TMPRSS11BNL","","CSRP3","CPLX3","","","IGHV3-11","",""
"","TMPRSS11B","","PYGM","SSTR5-AS1","","","IGHV3-15","",""
"","EREG","","SLN","ZG16B","","","IGHV1-18","",""
"","ADH7","","STAC3","ERN2","","","IGHV3-21","",""
"","SPINK5","","MYF6","SLC13A2","","","IGHV3-23","",""
"","SPINK7","","MYL2","LPO","","","IGHV1-24","",""
"","NIPAL4","","MYH6","FCGBP","","","IGHV3-30","",""
"","MUC21","","MYH7","BPIFB2","","","IGHV4-31","",""
"","HCG22","","ACTC1","BPIFB6","","","IGHV3-33","",""
"","LY6G6C","","RPL3L","BPIFB1","","","IGHV4-39","",""
"","ADGRF4","","ATP2A1","TFF3","","","IGHV1-46","",""
"","RAET1E","","MYLPF","TFF1","","","IGHV3-48","",""
"","RAET1L","","TRIM72","","","","IGHV3-49","",""
"","PPP1R14C","","COX6A2","","","","IGHV5-51","",""
"","RP11-351J23.1","","MYLK3","","","","IGHV3-53","",""
"","AKR1B10","","ENO3","","","","IGHV4-59","",""
"","LGI3","","MYH1","","","","IGHV2-70D","",""
"","FABP5","","MYH2","","","","IGHV1-69-2","",""
"","FAM83A","","UNC45B","","","","IGHV1-69D","",""
"","GSDMC","","TCAP","","","","IGHV2-70","",""
"","SLURP1","","PPP1R27","","","","IGHV3-74","",""
"","LYNX1","","NMRK2","","","","IGLV4-69","",""
"","LY6D","","CKM","","","","IGLV8-61","",""
"","PRSS3","","MYBPC2","","","","IGLV4-60","",""
"","FOXE1","","TNNT1","","","","IGLV6-57","",""
"","CLIC3","","MYLK2","","","","IGLV10-54","",""
"","CYSRT1","","TNNC2","","","","IGLV1-51","",""
"","FAM25A","","MYO18B","","","","IGLV1-47","",""
"","CYP2C18","","MB","","","","IGLV7-46","",""
"","A2ML1","","","","","","IGLV5-45","",""
"","ENDOU","","","","","","IGLV1-44","",""
"","KRT6B","","","","","","IGLV1-40","",""
"","KRT6C","","","","","","IGLV3-25","",""
"","KRT6A","","","","","","IGLV2-23","",""
"","KRT1","","","","","","IGLV3-21","",""
"","KRT4","","","","","","IGLV3-19","",""
"","KRT78","","","","","","IGLV2-18","",""
"","GJB2","","","","","","IGLV2-14","",""
"","GJB6","","","","","","IGLV2-11","",""
"","SCEL","","","","","","IGLV3-10","",""
"","TGM1","","","","","","IGLV2-8","",""
"","PLA2G4E","","","","","","IGLV3-1","",""
"","C15orf48","","","","","","IGLC1","",""
"","RHCG","","","","","","IGLC2","",""
"","CERS3","","","","","","IGLC3","",""
"","CAPNS2","","","","","","IGLC6","",""
"","ALOX12","","","","","","IGLC7","",""
"","RNF222","","","","","","","",""
"","ALDH3A1","","","","","","","",""
"","FOXN1","","","","","","","",""
"","KRT13","","","","","","","",""
"","KRT16","","","","","","","",""
"","DSG1","","","","","","","",""
"","DSG3","","","","","","","",""
"","SERPINB13","","","","","","","",""
"","SERPINB4","","","","","","","",""
"","SERPINB11","","","","","","","",""
"","SERPINB3","","","","","","","",""
"","SERPINB2","","","","","","","",""
"","CYP4F22","","","","","","","",""
"","KRTDAP","","","","","","","",""
"","SBSN","","","","","","","",""
"","LGALS7","","","","","","","",""
"","LGALS7B","","","","","","","",""
"","NCCRP1","","","","","","","",""
"","CEACAM7","","","","","","","",""
"","CNFN","","","","","","","",""
"","LYPD3","","","","","","","",""
"","SULT2B1","","","","","","","",""
"","KLK13","","","","","","","",""
"","TGM3","","","","","","","",""
"","FAM83C","","","","","","","",""
