"","A","B","C-1","C-2","D","E-1","E-2","F","G","H-1","H-2","I","J"
"MTND1P23","ANGPTL7","SFTPB","XIST","RPS4Y1","CALML6","ERRFI1","C1orf127","PLA2G2A","MYOC","HSD52","HK2","RGS16","DLEU2L"
"SLC44A5","VMO1","CPB1","","ZFY","GREM2","RP13-392I16.1","AGMAT","ADAMTS4","PRG4","PDE11A","HES6","EGR1","MYBPH"
"GSTM1","KRT17P4","ALB","","RP11-115H13.1","UGT3A1","FCN3","EXTL1","CISH","SFRP2","MSTN","AC114730.3","IL6","SCN5A"
"HMGCS2","KRT17P7","PGC","","PRKY","ACTN3","CYP4B1","SLC1A7","PTX3","COL22A1","CXCR6","NEU4","OTUD1","COL19A1"
"RP4-765C7.2","ETV4","CPA1","","TTTY15","OR7E47P","ITGA10","ACOT11","SERPINA3","TNC","FAM184B","MYLK4","HBB","PRUNE2"
"IGFN1","PVALB","TG","","USP9Y","METTL21EP","GLUL","CYP2J2","MT2A","COMP","C8orf22","FABP7","HBA2","ANKRD1"
"RP11-343H5.4","KCNE5","KRT4","","DDX3Y","RP11-255P5.3","CHI3L1","PDE4B","MT1E","TNMD","THRSP","ANKRD2","HBA1","SAA4"
"CHRNG","","IGHG1","","UTY","ATP2A1","IL1RL1","CA14","MT1M","","USP6","CMTM5","SOCS3","SAA2"
"AC131097.4","","HP","","TTTY14","FAM57B","TFCP2L1","TNNI1","MT1A","","","MYH6","","SAA1"
"CIDEC","","KRT13","","TXLNGY","MYH4","AOX1","SLC26A9","LIPG","","","SERPINA5","","KRT80"
"ADIPOQ","","","","RP11-424G14.1","MYH1","GALNT15","ACTA1","F2RL3","","","CSF3","","ACTC1"
"NPR3","","","","KDM5D","MYH2","TNK2-AS1","LINC01854","","","","SLC16A3","","LTK"
"GDNF","","","","EIF1AY","CTC-304I17.6","RP11-701P16.2","ITGB6","","","","SBK3","","SLC47A2"
"RPL10P9","","","","","","RP11-357D18.1","PPP1R1C","","","","","","RP13-379O24.2"
"RP11-114G11.5","","","","","","GLRX","ASB18","","","","","","PNPLA3"
"AKR1C3","","","","","","AC008592.8","ATP2B2","","","","","","ARHGAP36"
"SCD","","","","","","LINC01554","GADL1","","","","","","MIR503HG"
"DDN","","","","","","FKBP5","PRSS45","","","","","",""
"CYP1A1","","","","","","RP11-59D5__B.2","PRSS44","","","","","",""
"RP11-958N24.2","","","","","","RP3-393E18.2","PRSS42","","","","","",""
"CRYM","","","","","","SOD2","MYL3","","","","","",""
"SLC6A10P","","","","","","PDK4","LSMEM2","","","","","",""
"NPIPB15","","","","","","CYP3A4","ASB14","","","","","",""
"CCDC144A","","","","","","ATAD2","KY","","","","","",""
"USP32P1","","","","","","UNQ6494","PAQR9","","","","","",""
"USP32P2","","","","","","IFITM10","SMCO1","","","","","",""
"GFAP","","","","","","FADS1","TECRL","","","","","",""
"RP11-678G14.3","","","","","","MMP3","LRRC14B","","","","","",""
"LBP","","","","","","NNMT","CTD-2083E4.7","","","","","",""
"SIK1","","","","","","SLC38A1","HCN1","","","","","",""
"PWP2","","","","","","HELLPAR","NREP","","","","","",""
"C21orf33","","","","","","LINC00598","NPY6R","","","","","",""
"GPX1P1","","","","","","CHAC1","MYOZ3","","","","","",""
"NR0B2","","","","","","BLM","CTC-338M12.1","","","","","",""
"C1orf168","","","","","","CES4A","HS3ST5","","","","","",""
"PDE4DIPP1","","","","","","RASD1","FNDC1","","","","","",""
"SH2D1B","","","","","","SLPI","HDAC9","","","","","",""
"RASSF5","","","","","","HMOX1","SFRP4","","","","","",""
"G0S2","","","","","","","LSMEM1","","","","","",""
"MAP1LC3C","","","","","","","ASB15","","","","","",""
"TOGARAM2","","","","","","","CLCN1","","","","","",""
"LRRC3B","","","","","","","CA3","","","","","",""
"OR7E29P","","","","","","","NOV","","","","","",""
"AREG","","","","","","","CTD-3064M3.7","","","","","",""
"TSPAN5","","","","","","","TYRP1","","","","","",""
"LINCMD1","","","","","","","FBP2","","","","","",""
"GRIK2","","","","","","","ADAMTSL2","","","","","",""
"LRRN3","","","","","","","LINP1","","","","","",""
"GSDMC","","","","","","","LINC00202-1","","","","","",""
"CCL21","","","","","","","C10orf71-AS1","","","","","",""
"GDA","","","","","","","MSS51","","","","","",""
"NR4A3","","","","","","","PPP1R3C","","","","","",""
"PFKFB3","","","","","","","LGI1","","","","","",""
"ATRNL1","","","","","","","PRR33","","","","","",""
"SHISA2","","","","","","","CSRP3","","","","","",""
"METTL21C","","","","","","","E2F8","","","","","",""
"ARG2","","","","","","","SCN2B","","","","","",""
"ITPKA","","","","","","","FGF6","","","","","",""
"MYH8","","","","","","","SPX","","","","","",""
"SNORD3A","","","","","","","LUM","","","","","",""
"GAS2L2","","","","","","","C12orf75","","","","","",""
"NPTX1","","","","","","","MYL2","","","","","",""
"ZNF750","","","","","","","LINC01405","","","","","",""
"CDH20","","","","","","","RFLNA","","","","","",""
"NMRK2","","","","","","","IL17D","","","","","",""
"AJ006998.2","","","","","","","KLHL33","","","","","",""
"MAOA","","","","","","","MYH7","","","","","",""
"RP11-145A3.1","","","","","","","CTD-2201G16.1","","","","","",""
"ERFE","","","","","","","DLK1","","","","","",""
"LINC02188","","","","","","","C14orf180","","","","","",""
"CHGB","","","","","","","UNC13C","","","","","",""
"","","","","","","","KBTBD13","","","","","",""
"","","","","","","","MYLK3","","","","","",""
"","","","","","","","ABCC12","","","","","",""
"","","","","","","","DHRS7C","","","","","",""
"","","","","","","","CTC-297N7.7","","","","","",""
"","","","","","","","KRT31","","","","","",""
"","","","","","","","MYADML2","","","","","",""
"","","","","","","","MIR133A1HG","","","","","",""
"","","","","","","","AQP4","","","","","",""
"","","","","","","","RP11-739N10.1","","","","","",""
"","","","","","","","AC005616.2","","","","","",""
"","","","","","","","WDR62","","","","","",""
"","","","","","","","LGALS17A","","","","","",""
"","","","","","","","RP4-737E23.5","","","","","",""
"","","","","","","","MYH7B","","","","","",""
"","","","","","","","MIR1-1HG","","","","","",""
"","","","","","","","RPL7P3","","","","","",""
"","","","","","","","LINC01634","","","","","",""
"","","","","","","","MXRA5","","","","","",""
"","","","","","","","CAPN6","","","","","",""
"","","","","","","","ATP1B4","","","","","",""
"","","","","","","","APLN","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
