"","A-1","A-2","B-1","B-2","C-1","C-2","D","E","F","G","H","I","J","K"
"COL24A1","MTND1P23","HIST2H2BF","SAMD11","LPAR3","PLA2G2A","RHBG","CELA3B","CTH","COL11A1","PRG4","SLC30A10","ACTA1","AC141928.1","HPGD"
"GSTM1","MTCO1P12","HIST2H2BE","FAM46B","MIR202HG","KCND3","LEMD1-AS1","CELA3A","ADAMTS4","SYT6","UPK3B","RPRM","KRT2","ADRA2C","VCAN"
"HSPA6","C1QA","RP11-373D23.2","GRIK3","ANO4","CHI3L1","C4BPB","REG1B","NR4A2","SPRR2F","CRB2","TRH","KRT1","DPP6","STC1"
"RP4-765C7.2","C1QC","HIST1H2BD","CYP4B1","SLC5A8","IL1RL1","CRYGD","REG1A","AC053503.12","LEFTY1","KRT7","GSTA1","MYBPC1","DKK1","CHRDL2"
"REN","C1QB","HIST1H4E","CASQ2","PWRN1","CXCL8","","CPB1","SCG2","TRABD2A","BNC1","PENK","MYL2","PAMR1","THY1"
"RP11-343H5.4","FCGR3A","HIST1H2BG","GJA5","WNK4","CXCL1","","CLPS","ATP1B3-AS1","SPHKAP","MSLN","SORCS3","MYH6","LINC00890","ANPEP"
"KCNK2","IGKC","HIST1H2AE","CADM3","ICAM5","CXCL2","","PGC","AREG","LRRC3B","CALB2","RASGRF1","MYH7","","TPSB2"
"GTF2A1L","IGKJ4","","CADM3-AS1","","NKD2","","CPA1","PDE4D","CASR","MUC16","PPP1R1B","CKM","","TPSAB1"
"LINC01291","IGKJ2","","ACKR1","","IL6","","PRSS1","EGR1","SLC7A11","SLPI","WFIKKN2","TNNT1","","ANGPTL4"
"PAX8-AS1","IGKJ1","","OLFML2B","","INMT","","PRSS2","LINC00473","SPOCK3","","KIAA1210","MB","",""
"AC068282.3","IGKV4-1","","DPT","","C10orf10","","LIPF","SERPINE1","SLC27A6","","","","",""
"LINC01088","IGKV1-5","","SELE","","FOSL1","","PNLIP","EGR3","FNDC1","","","","",""
"FGG","IGKV3-11","","FMO2","","MT1M","","KRT4","NR4A3","GRM8","","","","",""
"FST","IGKV3-15","","FAM129A","","MT1A","","GP2","ADAMTS15","CDHR1","","","","",""
"RAB3C","IGKV3-20","","IGFN1","","CCL2","","CTRB2","FZD10","COL2A1","","","","",""
"RP11-195E2.1","MARCO","","LGR6","","SOCS3","","CTRB1","SERTM1","DHRS2","","","","",""
"CXCL14","CCR1","","CYP1B1","","TNFSF14","","","ARG2","CYP19A1","","","","",""
"RPL10P9","JCHAIN","","NRXN1","","C3","","","CRISPLD2","UNC13C","","","","",""
"PRL","SPP1","","ACTG2","","CTD-3128G10.7","","","MIR22HG","SEZ6L2","","","","",""
"HSPA1B","F13A1","","C2orf40","","LIF","","","RASD1","CILP2","","","","",""
"HLA-DRB5","MSR1","","SUSD5","","XPNPEP2","","","NPTX1","CTD-2626G11.2","","","","",""
"HLA-DRB6","MRC1","","ITIH3","","","","","CBARP","CPXM1","","","","",""
"HLA-DQA2","MKI67","","SLCO2A1","","","","","FOSB","CHGB","","","","",""
"AC091801.1","MPEG1","","SLITRK3","","","","","HAS1","LAMP5","","","","",""
"HOXA3","MS4A4A","","BCHE","","","","","AURKA","EDN3","","","","",""
"HOXA-AS2","FOLR2","","DGKG","","","","","SLCO4A1","PRRG3","","","","",""
"HOXA5","CD163","","LGI2","","","","","CH507-42P11.8","U82695.5","","","","",""
"IGFBP1","LYZ","","ADGRL3","","","","","","","","","","",""
"CSMD1","IGHA2","","MMRN1","","","","","","","","","","",""
"LINC01504","IGHG4","","ADH1B","","","","","","","","","","",""
"PTGDS","IGHG2","","SFRP2","","","","","","","","","","",""
"CYP17A1","IGHGP","","RP11-588K22.2","","","","","","","","","","",""
"HBB","IGHA1","","GRIA2","","","","","","","","","","",""
"APLNR","IGHG1","","NPY1R","","","","","","","","","","",""
"PIANP","IGHG3","","SPOCK1","","","","","","","","","","",""
"LMO3","IGHM","","KCNMB1","","","","","","","","","","",""
"HOXC10","IGHV3-23","","PI16","","","","","","","","","","",""
"HOXC9","ALOX15B","","FHL5","","","","","","","","","","",""
"NALCN","FCGBP","","PLN","","","","","","","","","","",""
"DLK1","FPR1","","RSPO3","","","","","","","","","","",""
"HBA2","SIGLEC1","","STEAP4","","","","","","","","","","",""
"HBA1","ITGB2","","EBF2","","","","","","","","","","",""
"RP11-958N24.2","IGLV1-40","","SCARA5","","","","","","","","","","",""
"HP","IGLV2-14","","RP11-527N22.1","","","","","","","","","","",""
"NPIPB15","IGLC1","","PI15","","","","","","","","","","",""
"CCDC144A","IGLC2","","CCL21","","","","","","","","","","",""
"USP32P1","IGLC3","","PRUNE2","","","","","","","","","","",""
"RPL13P12","CYBB","","S1PR3","","","","","","","","","","",""
"USP32P2","VSIG4","","SVEP1","","","","","","","","","","",""
"CTD-2303H24.2","MT-CO1","","TNC","","","","","","","","","","",""
"CTD-2008P7.9","MT-ND6","","HMCN2","","","","","","","","","","",""
"TBC1D3L","","","LINC00702","","","","","","","","","","",""
"GFAP","","","MPZL2","","","","","","","","","","",""
"CA10","","","MCAM","","","","","","","","","","",""
"GH1","","","MGST1","","","","","","","","","","",""
"CLUL1","","","RERGL","","","","","","","","","","",""
"SYT4","","","GLI1","","","","","","","","","","",""
"CYP4F24P","","","POSTN","","","","","","","","","","",""
"INSL3","","","SMOC1","","","","","","","","","","",""
"CBSL","","","ASB2","","","","","","","","","","",""
"CYP4F29P","","","ACTC1","","","","","","","","","","",""
"SIK1","","","NTRK3","","","","","","","","","","",""
"C21orf33","","","C16orf89","","","","","","","","","","",""
"AP000350.5","","","WFDC1","","","","","","","","","","",""
"FAM9C","","","FOXC2","","","","","","","","","","",""
"GPX1P1","","","FOXL1","","","","","","","","","","",""
"","","","P2RX1","","","","","","","","","","",""
"","","","CCL14","","","","","","","","","","",""
"","","","AOC3","","","","","","","","","","",""
"","","","SGCA","","","","","","","","","","",""
"","","","DSC3","","","","","","","","","","",""
"","","","CDH19","","","","","","","","","","",""
"","","","CFD","","","","","","","","","","",""
"","","","CNN1","","","","","","","","","","",""
"","","","CRLF1","","","","","","","","","","",""
"","","","PTGIR","","","","","","","","","","",""
"","","","JPH2","","","","","","","","","","",""
"","","","CBLN4","","","","","","","","","","",""
"","","","C20orf166-AS1","","","","","","","","","","",""
"","","","SUSD2","","","","","","","","","","",""
"","","","SRPX","","","","","","","","","","",""
"","","","CHRDL1","","","","","","","","","","",""
"","","","ADGRG4","","","","","","","","","","",""
"","","","BRS3","","","","","","","","","","",""
"","","","L1CAM","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
