"","A","B-1","B-2","C-1","C-2","D","E","F","G-1","G-2","H-1","H-2","I","J","K-1","K-2","L","M-1","M-2"
"MTND1P23","PLCH2","RP1-58B11.1","HIST2H2BF","CELA2A","PLA2G2A","EPS8L3","CRNN","ADAMTS4","RGS2","MEP1A","CAPN8","ATP4A","ACTA1","IGKC","IL1RL1","IZUMO1","CIDEC","XIST","RPS4Y1"
"MTCO1P12","G6PC2","HPCAL4","HSPA6","CELA2B","F3","SCGB3A1","SPRR3","SELE","FLJ31356","DDC","AGR2","","SFTPB","IGKJ2","SLC11A1","","ADIPOQ","","ZFY"
"AKR7A3","INS","CYP4B1","RGS1","AMY2B","APCS","CRISP3","PRL","ATF3","KCNE4","TDH","SEMA3E","","DES","IGKJ1","PTX3","","LEP","","RP11-115H13.1"
"GSTM1","IAPP","LEFTY1","G0S2","AMY2A","CRP","DMBT1","CYP11B1","IL6","GALNT15","FAM167A-AS1","BMP7","","TG","IGKV4-1","SERPINE1","","SCD","","PRKY"
"MYOC","SYT16","GNMT","SFRP2","AMY1A","CHI3L1","MUC5B","LIPF","NR4A3","PDK4","SLC26A7","SLITRK2","","KRT2","IGKV1-5","CD163","","SAA2","","TTTY15"
"RP4-765C7.2","ELFN2","CYP3A5","HSPA1A","RP5-1108M17.5","CTSE","TCN1","PGA5","C11orf96","RP11-422N16.3","ACSM6","","","KRT1","IGKV3-11","ALOX15B","","SAA1","","USP9Y"
"RP11-343H5.4","","CYP3A4","HSPA1B","AMY1B","C4BPB","MMP1","KRT6A","NR4A1","RCL1","SIGLEC11","","","MYBPC1","IGKV3-20","SIGLEC10","","DGAT2","","DDX3Y"
"RP11-392O17.1","","CYP3A43","SFRP4","AMYP1","C4BPA","DUOX2","KRT4","GADD45B","CA9","LGALS2","","","MYL2","JCHAIN","VSIG4","","TUSC5","","UTY"
"LINC01291","","GSG1","CCL19","AMY1C","GCKR","ERN2","KRT13","","ALDOB","","","","MYH1","IGHA2","","","","","TMSB4Y"
"RGPD2","","RP11-1I2.1","CHAC1","HMGCS2","REG3G","TFF2","GH1","","SLC25A25","","","","KRT14","IGHG2","","","","","NLGN4Y"
"PAX8-AS1","","CSDC2","C2CD4A","PM20D1","REG1B","","","","DDIT4","","","","CKM","IGHA1","","","","","TTTY14"
"LINC01806","","","C2CD4B","PRSS3P1","REG1CP","","","","ANKRD22","","","","TNNT1","IGHG1","","","","","TXLNGY"
"GCG","","","SLC7A5","PEBP4","REG3A","","","","APOA5","","","","MB","IGHG3","","","","","RP11-424G14.1"
"CDCA7","","","CCL11","PRSS3","MARCO","","","","MT1X","","","","","IGHM","","","","","KDM5D"
"RPL10P6","","","","PNLIP","CP","","","","ANGPTL4","","","","","IGHV3-23","","","","","EIF1AY"
"AADACP1","","","","PNLIPRP2","RARRES1","","","","F2RL3","","","","","IGLV1-40","","","","",""
"AADAC","","","","GPHA2","CXCL8","","","","CH507-42P11.8","","","","","IGLV2-14","","","","",""
"LGI2","","","","RNASE1","CXCL6","","","","","","","","","IGLV2-8","","","","",""
"MUC7","","","","ZG16","CXCL1","","","","","","","","","IGLC1","","","","",""
"ART3","","","","SYCN","CXCL2","","","","","","","","","IGLC2","","","","",""
"CXCL11","","","","CTB-60B18.10","SPP1","","","","","","","","","IGLC3","","","","",""
"HHIP-AS1","","","","ARSE","FGA","","","","","","","","","","","","","",""
"HHIP","","","","RP6-149D17.1","FGG","","","","","","","","","","","","","",""
"FGB","","","","","ANXA10","","","","","","","","","","","","","",""
"SMN2","","","","","ATP10B","","","","","","","","","","","","","",""
"CXCL14","","","","","OR2I1P","","","","","","","","","","","","","",""
"EGR1","","","","","CFB","","","","","","","","","","","","","",""
"RPL10P9","","","","","C4A","","","","","","","","","","","","","",""
"PSORS1C3","","","","","C4B","","","","","","","","","","","","","",""
"HLA-DQA2","","","","","C6orf222","","","","","","","","","","","","","",""
"CLPSL1","","","","","SOD2","","","","","","","","","","","","","",""
"PGC","","","","","IGF2BP3","","","","","","","","","","","","","",""
"RP11-462G2.1","","","","","LCN2","","","","","","","","","","","","","",""
"FUT9","","","","","FCN1","","","","","","","","","","","","","",""
"RP11-632C17__A.1","","","","","MKI67","","","","","","","","","","","","","",""
"VIP","","","","","HPX","","","","","","","","","","","","","",""
"RADIL","","","","","HTR3A","","","","","","","","","","","","","",""
"CRHR2","","","","","OLR1","","","","","","","","","","","","","",""
"VGF","","","","","LYZ","","","","","","","","","","","","","",""
"FGL1","","","","","OLFM4","","","","","","","","","","","","","",""
"CSMD3","","","","","GPX2","","","","","","","","","","","","","",""
"ORM1","","","","","SERPINA1","","","","","","","","","","","","","",""
"TUBBP5","","","","","SERPINA3","","","","","","","","","","","","","",""
"AGAP12P","","","","","MEG9","","","","","","","","","","","","","",""
"RBM20","","","","","GCNT3","","","","","","","","","","","","","",""
"SYCE1","","","","","FAM169B","","","","","","","","","","","","","",""
"RP11-326C3.2","","","","","TMC5","","","","","","","","","","","","","",""
"IFITM5","","","","","CCL2","","","","","","","","","","","","","",""
"MUC5AC","","","","","KRT23","","","","","","","","","","","","","",""
"IGF2","","","","","LRG1","","","","","","","","","","","","","",""
"HBB","","","","","TNFSF14","","","","","","","","","","","","","",""
"CCKBR","","","","","C3","","","","","","","","","","","","","",""
"SCUBE2","","","","","CTD-3128G10.7","","","","","","","","","","","","","",""
"MYEOV","","","","","HAMP","","","","","","","","","","","","","",""
"SLC6A12","","","","","LBP","","","","","","","","","","","","","",""
"MMP17","","","","","LIF","","","","","","","","","","","","","",""
"FREM2-AS1","","","","","","","","","","","","","","","","","","",""
"CLDN10-AS1","","","","","","","","","","","","","","","","","","",""
"DHRS2","","","","","","","","","","","","","","","","","","",""
"COCH","","","","","","","","","","","","","","","","","","",""
"FOS","","","","","","","","","","","","","","","","","","",""
"NGB","","","","","","","","","","","","","","","","","","",""
"HERC2P3","","","","","","","","","","","","","","","","","","",""
"GREM1","","","","","","","","","","","","","","","","","","",""
"RP11-244F12.3","","","","","","","","","","","","","","","","","","",""
"HBA2","","","","","","","","","","","","","","","","","","",""
"RPL3L","","","","","","","","","","","","","","","","","","",""
"ZG16B","","","","","","","","","","","","","","","","","","",""
"C16orf89","","","","","","","","","","","","","","","","","","",""
"RP11-958N24.2","","","","","","","","","","","","","","","","","","",""
"PKD1P5","","","","","","","","","","","","","","","","","","",""
"MT2A","","","","","","","","","","","","","","","","","","",""
"MT1E","","","","","","","","","","","","","","","","","","",""
"MT1M","","","","","","","","","","","","","","","","","","",""
"MT1G","","","","","","","","","","","","","","","","","","",""
"MT1H","","","","","","","","","","","","","","","","","","",""
"HP","","","","","","","","","","","","","","","","","","",""
"NPIPB15","","","","","","","","","","","","","","","","","","",""
"ATP2C2","","","","","","","","","","","","","","","","","","",""
"CDH15","","","","","","","","","","","","","","","","","","",""
"SLC22A31","","","","","","","","","","","","","","","","","","",""
"CCDC144A","","","","","","","","","","","","","","","","","","",""
"USP32P1","","","","","","","","","","","","","","","","","","",""
"RPL13P12","","","","","","","","","","","","","","","","","","",""
"USP32P2","","","","","","","","","","","","","","","","","","",""
"CTD-2303H24.2","","","","","","","","","","","","","","","","","","",""
"SNORD3A","","","","","","","","","","","","","","","","","","",""
"TBC1D3L","","","","","","","","","","","","","","","","","","",""
"PPY","","","","","","","","","","","","","","","","","","",""
"LINC00668","","","","","","","","","","","","","","","","","","",""
"LAMA1","","","","","","","","","","","","","","","","","","",""
"PIEZO2","","","","","","","","","","","","","","","","","","",""
"ANKRD30B","","","","","","","","","","","","","","","","","","",""
"C3P1","","","","","","","","","","","","","","","","","","",""
"CYP4F11","","","","","","","","","","","","","","","","","","",""
"COMP","","","","","","","","","","","","","","","","","","",""
"CTD-2626G11.2","","","","","","","","","","","","","","","","","","",""
"MTDHP3","","","","","","","","","","","","","","","","","","",""
"RPSAP58","","","","","","","","","","","","","","","","","","",""
"FOSB","","","","","","","","","","","","","","","","","","",""
"KLK13","","","","","","","","","","","","","","","","","","",""
"NLRP2","","","","","","","","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","","","","","","","","",""
"AF127936.3","","","","","","","","","","","","","","","","","","",""
"CBS","","","","","","","","","","","","","","","","","","",""
"SIK1","","","","","","","","","","","","","","","","","","",""
"PWP2","","","","","","","","","","","","","","","","","","",""
"C21orf33","","","","","","","","","","","","","","","","","","",""
"AP000350.5","","","","","","","","","","","","","","","","","","",""
"RP11-706O15.3","","","","","","","","","","","","","","","","","","",""
"GPX1P1","","","","","","","","","","","","","","","","","","",""
"CLDN2","","","","","","","","","","","","","","","","","","",""
